episode_record_idx,global_step,rooms_visited,episodic_return,episodic_length,gap_steps_since_prev_multiroom,gap_episodes_since_prev_multiroom
33725,18447872,4,400,1984,1216,2
33726,18448128,4,400,534,256,1
33729,18450112,2,400,852,1984,3
33732,18451968,2,400,1415,1856,3
33734,18457536,4,400,592,5568,2
33740,18460032,2,400,675,2496,6
33741,18460192,4,400,692,160,1
33743,18463168,2,400,688,2976,2
33746,18467104,4,400,612,3936,3
33747,18469760,2,400,1181,2656,1
33749,18472192,2,400,1119,2432,2
33752,18478656,2,400,635,6464,3
33755,18480768,2,400,706,2112,3
33757,18482048,4,400,949,1280,2
33758,18483040,4,400,1228,992,1
33761,18486368,2,400,1019,3328,3
33764,18488096,4,400,1128,1728,3
33769,18490976,4,400,1346,2880,5
33772,18492864,4,400,1358,1888,3
33774,18493376,4,400,4422,512,2
33775,18496192,4,400,535,2816,1
33776,18498464,2,400,1278,2272,1
33779,18500032,4,400,1685,1568,3
33780,18500512,4,400,1311,480,1
33781,18501952,4,400,1681,1440,1
33782,18502080,2,400,594,128,1
33786,18507296,2,400,616,5216,4
33788,18510560,2,400,954,3264,2
33795,18515328,4,400,811,4768,7
33798,18517248,2,400,849,1920,3
33801,18517824,2,400,1864,576,3
33806,18520832,4,400,1000,3008,5
33812,18525984,2,400,1412,5152,6
33814,18528064,4,400,1294,2080,2
33815,18529472,4,400,724,1408,1
33819,18533408,2,400,476,3936,4
33822,18535040,4,400,615,1632,3
33830,18543040,2,400,1014,8000,8
33835,18546720,4,0,844,3680,5
33837,18548352,4,400,633,1632,2
33839,18551008,4,400,1142,2656,2
33840,18551392,4,400,1140,384,1
33843,18552352,2,400,591,960,3
33845,18553728,4,400,866,1376,2
33849,18557152,2,400,1052,3424,4
33856,18560672,2,400,1059,3520,7
33858,18561696,2,400,1006,1024,2
33864,18567360,4,400,882,5664,6
33870,18573344,2,400,685,5984,6
33881,18580192,2,400,838,6848,11
33891,18588064,2,400,631,7872,10
33892,18588832,2,400,684,768,1
33896,18592992,4,400,641,4160,4
33898,18594400,2,400,739,1408,2
33900,18595008,4,400,1110,608,2
33901,18595520,4,400,587,512,1
33904,18597920,2,400,767,2400,3
33906,18599808,4,400,612,1888,2
33910,18603232,2,400,645,3424,4
33912,18604480,2,400,1280,1248,2
33916,18606528,2,400,627,2048,4
33921,18609952,4,400,606,3424,5
33922,18612832,4,400,575,2880,1
33925,18615008,4,400,888,2176,3
33934,18621824,2,400,1030,6816,9
33935,18621952,4,400,2073,128,1
33939,18626240,4,400,933,4288,4
33940,18628928,4,400,1122,2688,1
33941,18630240,2,400,704,1312,1
33944,18632096,4,400,1012,1856,3
33945,18632384,4,400,823,288,1
33946,18633184,2,400,1523,800,1
33954,18638976,2,400,1091,5792,8
33957,18643904,4,400,878,4928,3
33958,18644768,4,400,726,864,1
33962,18648416,4,400,1068,3648,4
33965,18650048,2,0,307,1632,3
33972,18653664,2,400,922,3616,7
33976,18656160,2,400,774,2496,4
33982,18661344,4,400,763,5184,6
33991,18671744,4,400,841,10400,9
34021,18694272,4,400,1190,22528,30
34022,18694752,2,400,626,480,1
34023,18695456,4,400,1582,704,1
34025,18695840,2,400,639,384,2
34030,18702112,2,400,2016,6272,5
34031,18703296,2,400,769,1184,1
34038,18709152,4,400,1322,5856,7
34041,18713056,2,400,818,3904,3
34043,18713536,4,400,782,480,2
34045,18713792,4,400,1043,256,2
34055,18722272,4,400,592,8480,10
34059,18727328,2,400,867,5056,4
34062,18729280,4,400,1149,1952,3
34063,18729568,4,400,1557,288,1
34066,18731008,2,400,696,1440,3
34070,18732736,2,400,826,1728,4
34081,18740864,4,400,832,8128,11
34084,18746656,2,400,764,5792,3
34086,18748192,4,400,581,1536,2
34092,18752000,4,400,563,3808,6
34094,18755456,4,400,569,3456,2
34095,18755744,4,400,864,288,1
34101,18762944,4,400,575,7200,6
34104,18765888,2,400,1362,2944,3
34109,18768992,4,400,882,3104,5
34111,18769632,4,400,1060,640,2
34116,18773312,2,400,557,3680,5
34117,18775104,4,400,823,1792,1
34118,18776864,2,400,2851,1760,1
34119,18777408,2,400,1467,544,1
34123,18781856,4,400,2134,4448,4
34132,18787296,2,400,574,5440,9
34134,18790304,4,400,1963,3008,2
34138,18793568,4,400,794,3264,4
34139,18796640,2,400,570,3072,1
34150,18802816,4,400,560,6176,11
34151,18804960,4,400,552,2144,1
34154,18807584,4,400,959,2624,3
34158,18816320,4,400,582,8736,4
34174,18828672,4,0,385,12352,16
34177,18830848,2,400,726,2176,3
34185,18840320,4,400,726,9472,8
34187,18841120,2,400,676,800,2
34192,18843616,4,400,1351,2496,5
34194,18846592,2,400,758,2976,2
34195,18848288,2,400,856,1696,1
34197,18848512,4,400,791,224,2
34203,18856928,2,400,882,8416,6
34204,18858048,2,400,553,1120,1
34205,18858208,4,400,436,160,1
34206,18861792,4,400,645,3584,1
34208,18862560,4,400,630,768,2
34210,18866976,4,400,559,4416,2
34211,18868448,2,400,1045,1472,1
34212,18869952,2,400,670,1504,1
34213,18870784,4,400,1206,832,1
34215,18871552,4,400,1271,768,2
34218,18873760,4,400,778,2208,3
34219,18873824,4,400,952,64,1
34220,18873888,2,400,799,64,1
34227,18881408,2,400,729,7520,7
34231,18886624,4,400,613,5216,4
34233,18888640,4,400,1486,2016,2
34235,18889920,2,400,453,1280,2
34236,18890400,2,400,489,480,1
34237,18891264,2,400,627,864,1
34238,18891808,2,400,632,544,1
34240,18893568,4,400,737,1760,2
34241,18894656,2,400,652,1088,1
34244,18899456,4,400,1152,4800,3
34256,18912576,4,400,595,13120,12
34262,18917152,4,400,736,4576,6
34264,18919584,2,400,723,2432,2
34266,18920864,4,400,468,1280,2
34279,18934688,4,400,666,13824,13
34285,18941632,2,400,829,6944,6
34287,18944832,2,400,685,3200,2
34288,18946272,2,400,596,1440,1
34289,18946624,4,400,734,352,1
34291,18948480,4,400,978,1856,2
34292,18950336,4,400,660,1856,1
34293,18951168,4,400,2068,832,1
34294,18951872,2,400,1225,704,1
34295,18952096,4,400,543,224,1
34301,18957664,4,400,690,5568,6
34307,18966048,4,400,548,8384,6
34309,18967200,4,400,610,1152,2
34317,18975040,4,400,638,7840,8
34325,18981152,4,400,805,6112,8
34333,18987808,4,400,829,6656,8
34339,18992096,2,400,503,4288,6
34361,19014208,4,400,859,22112,22
34376,19028896,2,400,636,14688,15
34379,19030496,4,400,1485,1600,3
34391,19039456,4,400,1762,8960,12
34396,19042144,4,400,643,2688,5
34407,19050624,2,400,582,8480,11
34417,19060640,4,400,486,10016,10
34420,19060800,4,400,531,160,3
34427,19066912,4,400,1058,6112,7
34429,19068544,2,400,721,1632,2
34433,19070720,2,400,771,2176,4
34441,19081344,4,400,943,10624,8
34448,19084832,4,400,848,3488,7
34460,19099808,4,400,976,14976,12
34472,19108704,4,400,854,8896,12
34473,19109632,4,400,571,928,1
34479,19113152,2,400,884,3520,6
34491,19126048,2,400,1133,12896,12
34492,19126688,2,400,720,640,1
34495,19130752,4,400,634,4064,3
34496,19131232,2,400,617,480,1
34499,19132512,2,400,604,1280,3
34501,19133824,4,400,723,1312,2
34502,19135072,4,400,730,1248,1
34505,19141152,4,400,772,6080,3
34509,19143232,4,400,1049,2080,4
34520,19152256,2,400,655,9024,11
34522,19152864,4,400,629,608,2
34532,19162400,4,400,853,9536,10
34535,19164832,4,400,559,2432,3
34536,19166112,4,400,775,1280,1
34546,19170784,2,400,542,4672,10
34548,19175200,2,400,836,4416,2
